ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,1229170454,15.86%,15.86%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,522467818,6.74%,22.61%
C00010,CITIBANK N.A.,439303875,5.67%,28.28%
C00033,BANK OF CHINA (HONG KONG) LTD,284120928,3.66%,31.95%
C00093,BNP PARIBAS,275922615,3.56%,35.51%
C00041,OCBC BANK (HONG KONG) LTD,269932513,3.48%,38.99%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,205918943,2.65%,41.65%
B01353,UOB KAY HIAN (HONG KONG) LTD,154370864,1.99%,43.64%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,113998275,1.47%,45.11%
C00018,HANG SENG BANK LTD,107267817,1.38%,46.50%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,93185003,1.20%,47.70%
C00028,NANYANG COMMERCIAL BANK LTD,83864527,1.08%,48.78%
B01284,HANG SENG SECURITIES LTD,78582410,1.01%,49.80%
B01161,UBS SECURITIES HONG KONG LTD,63842340,0.82%,50.62%
C00042,CMB WING LUNG BANK LTD,46989768,0.60%,51.23%
C00037,SHANGHAI COMMERCIAL BANK LTD,45313587,0.58%,51.81%
B01955,FUTU SECURITIES INTERNATIONAL,44231349,0.57%,52.38%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,37806838,0.48%,52.87%
C00015,DBS BANK (HONG KONG) LTD,37069957,0.47%,53.35%
B01130,BOCI SECURITIES LTD,37048822,0.47%,53.83%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,35296153,0.45%,54.28%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,28305532,0.36%,54.65%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,24448421,0.31%,54.96%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,24283404,0.31%,55.28%
B01590,INTERACTIVE BROKERS HONG KONG LTD,23946753,0.30%,55.59%
B01727,ICBC (ASIA) SECURITIES LTD,23258494,0.30%,55.89%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,19408793,0.25%,56.14%
C00003,THE BANK OF EAST ASIA LTD,17875828,0.23%,56.37%
C00048,CHIYU BANKING CORPORATION LTD,17859734,0.23%,56.60%
C00036,CHINA CONSTRUCTION BANK (ASIA),17274589,0.22%,56.82%
